,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01
2185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,89.0,95.0,93.0,89.0,0.0,87.0,0.0,0.0,0.0,0.0,81.0,0.0,82.0,84.0,0.0,82.0,0.0,80.0,0.0,0.0,80.0,87.0,80.0,83.0,0.0,0.0,80.0,80.0,0.0,74.0
2187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,0.0,14.0,15.0,13.0,0.0,13.0,14.0,13.0,0.0,13.0,25.0,0.0,13.0,12.0,13.0,11.0,24.0,84.0,100.0,78.0,39.0,31.0,30.0,24.0,24.0,28.0,24.0,11.0,23.0,22.0,39.0,44.0,11.0,21.0,15.0,21.0,26.0,32.0,22.0,31.0,22.0,74.0,72.0,68.0,57.0,67.0,32.0,90.0,78.0,69.0,16.0,33.0,36.0,25.0,48.0,37.0,30.0,31.0,34.0,20.0,50.0,18.0,26.0,18.0,24.0,32.0,19.0,23.0,28.0,28.0,85.0,14.0,38.0,31.0,29.0,31.0,61.0,75.0,46.0,27.0,18.0,35.0,50.0
2188,77.0,74.0,74.0,74.0,82.0,81.0,71.0,58.0,57.0,64.0,68.0,70.0,65.0,64.0,64.0,65.0,74.0,100.0,91.0,62.0,50.0,80.0,63.0,62.0,58.0,63.0,62.0,75.0,66.0,77.0,61.0,48.0,44.0,49.0,53.0,59.0,45.0,54.0,54.0,57.0,58.0,65.0,75.0,48.0,41.0,48.0,48.0,53.0,47.0,53.0,43.0,41.0,49.0,50.0,49.0,38.0,41.0,39.0,40.0,41.0,33.0,40.0,36.0,39.0,55.0,46.0,46.0,33.0,31.0,35.0,36.0,44.0,30.0,30.0,34.0,35.0,36.0,39.0,43.0,32.0,29.0,29.0,38.0,35.0,30.0,30.0,32.0,33.0,34.0,39.0,45.0,35.0,26.0,28.0,30.0
2190,33.0,60.0,62.0,59.0,47.0,28.0,30.0,58.0,58.0,57.0,79.0,54.0,27.0,24.0,53.0,47.0,50.0,59.0,25.0,24.0,35.0,23.0,22.0,34.0,68.0,52.0,46.0,61.0,43.0,64.0,24.0,23.0,47.0,44.0,32.0,44.0,43.0,0.0,22.0,49.0,40.0,39.0,30.0,39.0,29.0,19.0,63.0,18.0,28.0,96.0,60.0,0.0,58.0,28.0,39.0,40.0,31.0,20.0,19.0,38.0,38.0,35.0,28.0,43.0,100.0,18.0,57.0,47.0,62.0,18.0,53.0,0.0,18.0,49.0,18.0,33.0,51.0,49.0,42.0,34.0,73.0,17.0,40.0,33.0,17.0,0.0,17.0,24.0,34.0,23.0,49.0,32.0,40.0,16.0,0.0
2191,61.0,56.0,62.0,57.0,58.0,58.0,58.0,77.0,44.0,55.0,84.0,66.0,71.0,68.0,57.0,61.0,50.0,54.0,45.0,47.0,39.0,41.0,47.0,44.0,31.0,51.0,32.0,41.0,60.0,65.0,51.0,56.0,46.0,49.0,43.0,60.0,63.0,47.0,38.0,39.0,30.0,46.0,38.0,41.0,47.0,44.0,41.0,56.0,42.0,44.0,42.0,39.0,43.0,35.0,35.0,39.0,39.0,44.0,36.0,30.0,28.0,32.0,33.0,35.0,26.0,38.0,27.0,29.0,36.0,23.0,32.0,25.0,29.0,34.0,28.0,33.0,44.0,37.0,27.0,23.0,29.0,100.0,52.0,36.0,41.0,32.0,46.0,32.0,28.0,29.0,25.0,36.0,38.0,33.0,20.0
2192,52.0,59.0,20.0,22.0,23.0,82.0,69.0,73.0,64.0,40.0,100.0,46.0,44.0,29.0,22.0,26.0,22.0,22.0,18.0,15.0,35.0,32.0,48.0,29.0,14.0,17.0,29.0,58.0,15.0,21.0,22.0,11.0,21.0,20.0,10.0,12.0,6.0,9.0,8.0,20.0,50.0,23.0,19.0,5.0,18.0,10.0,13.0,7.0,12.0,7.0,9.0,12.0,25.0,17.0,47.0,15.0,28.0,20.0,19.0,5.0,5.0,6.0,0.0,22.0,12.0,35.0,23.0,29.0,26.0,13.0,6.0,11.0,6.0,11.0,15.0,18.0,9.0,21.0,19.0,15.0,21.0,6.0,9.0,12.0,3.0,6.0,10.0,13.0,17.0,7.0,20.0,18.0,13.0,6.0,5.0
2193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2196,60.0,31.0,35.0,39.0,34.0,32.0,32.0,31.0,34.0,36.0,30.0,50.0,52.0,35.0,31.0,35.0,28.0,33.0,33.0,29.0,32.0,31.0,35.0,57.0,55.0,35.0,34.0,39.0,29.0,33.0,29.0,32.0,34.0,37.0,41.0,74.0,100.0,51.0,41.0,41.0,39.0,38.0,36.0,33.0,37.0,39.0,43.0,75.0,62.0,36.0,37.0,32.0,34.0,36.0,33.0,30.0,31.0,35.0,38.0,52.0,50.0,32.0,28.0,30.0,29.0,29.0,30.0,28.0,29.0,27.0,35.0,51.0,45.0,28.0,25.0,25.0,28.0,25.0,27.0,26.0,30.0,38.0,36.0,49.0,45.0,27.0,28.0,29.0,24.0,25.0,28.0,26.0,26.0,28.0,31.0
2197,18.0,36.0,37.0,29.0,27.0,37.0,46.0,16.0,15.0,16.0,21.0,22.0,15.0,19.0,21.0,23.0,20.0,31.0,36.0,24.0,22.0,46.0,58.0,78.0,42.0,39.0,31.0,26.0,28.0,30.0,40.0,22.0,27.0,25.0,28.0,27.0,26.0,25.0,25.0,24.0,22.0,29.0,32.0,21.0,27.0,54.0,81.0,100.0,59.0,42.0,32.0,27.0,27.0,28.0,35.0,21.0,24.0,24.0,22.0,22.0,26.0,24.0,21.0,23.0,31.0,30.0,40.0,18.0,23.0,23.0,25.0,22.0,48.0,98.0,84.0,37.0,33.0,29.0,48.0,25.0,23.0,20.0,19.0,25.0,31.0,29.0,21.0,21.0,26.0,30.0,35.0,20.0,19.0,22.0,22.0
2198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,3.0,1.0,5.0,6.0,4.0,4.0,4.0,100.0,27.0,16.0,10.0,23.0,14.0,8.0,10.0,8.0,4.0,5.0,8.0,5.0,5.0,5.0,16.0,50.0,8.0
2200,18.0,17.0,26.0,21.0,11.0,11.0,25.0,20.0,16.0,28.0,7.0,11.0,15.0,17.0,25.0,11.0,13.0,19.0,21.0,13.0,6.0,16.0,32.0,21.0,16.0,11.0,19.0,11.0,18.0,31.0,100.0,47.0,59.0,73.0,37.0,28.0,21.0,15.0,10.0,12.0,6.0,9.0,16.0,5.0,10.0,10.0,13.0,5.0,15.0,16.0,16.0,10.0,5.0,21.0,5.0,14.0,21.0,8.0,11.0,10.0,5.0,12.0,10.0,5.0,5.0,7.0,25.0,19.0,46.0,23.0,13.0,10.0,13.0,6.0,8.0,4.0,8.0,5.0,11.0,18.0,17.0,27.0,35.0,23.0,12.0,9.0,8.0,15.0,12.0,7.0,44.0,18.0,25.0,7.0,8.0
