,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01
0,77.0,76.0,67.0,67.0,69.0,77.0,66.0,77.0,78.0,72.0,70.0,68.0,67.0,68.0,61.0,67.0,66.0,69.0,64.0,63.0,62.0,54.0,55.0,65.0,61.0,62.0,58.0,61.0,71.0,74.0,65.0,60.0,62.0,60.0,56.0,63.0,55.0,60.0,60.0,74.0,88.0,64.0,72.0,86.0,87.0,67.0,71.0,66.0,80.0,87.0,100.0,86.0,92.0,72.0,67.0,73.0,68.0,81.0,72.0,60.0,63.0,61.0,58.0,57.0,58.0,59.0,56.0,56.0,50.0,52.0,59.0,60.0,55.0,58.0,68.0,62.0,57.0,49.0,48.0,55.0,55.0,48.0,43.0,50.0,55.0,59.0,48.0,49.0,49.0,52.0,53.0,51.0,60.0,54.0,52.0
2,53.0,41.0,37.0,32.0,32.0,37.0,38.0,41.0,56.0,100.0,57.0,38.0,34.0,54.0,35.0,33.0,29.0,27.0,24.0,27.0,35.0,22.0,28.0,30.0,26.0,22.0,20.0,20.0,18.0,18.0,23.0,18.0,18.0,17.0,16.0,16.0,17.0,39.0,23.0,18.0,15.0,15.0,14.0,15.0,18.0,14.0,12.0,13.0,13.0,14.0,18.0,12.0,12.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,12.0,10.0,17.0,10.0,10.0,8.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,13.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
5,53.0,70.0,76.0,75.0,67.0,100.0,68.0,57.0,50.0,77.0,57.0,50.0,31.0,70.0,70.0,73.0,55.0,40.0,75.0,49.0,52.0,34.0,45.0,60.0,54.0,45.0,65.0,60.0,51.0,63.0,27.0,53.0,37.0,58.0,56.0,69.0,61.0,57.0,40.0,56.0,51.0,63.0,43.0,54.0,60.0,52.0,49.0,70.0,41.0,65.0,77.0,42.0,53.0,60.0,40.0,44.0,35.0,44.0,42.0,63.0,34.0,67.0,28.0,47.0,40.0,37.0,59.0,21.0,37.0,25.0,55.0,46.0,44.0,36.0,52.0,50.0,37.0,45.0,16.0,34.0,38.0,42.0,50.0,58.0,33.0,55.0,32.0,51.0,32.0,38.0,34.0,22.0,20.0,20.0,29.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,87.0,90.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,0.0,0.0
8,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,3.0,3.0,5.0,0.0,3.0,6.0,4.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,0.0,3.0,3.0,4.0,9.0,5.0,9.0,7.0,3.0,4.0,3.0,5.0,3.0,0.0,3.0,5.0,2.0,0.0,6.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,100.0,0.0,2.0,2.0,2.0,5.0,4.0,6.0,2.0,6.0,7.0,7.0,7.0,2.0,5.0,2.0,10.0,7.0,4.0,5.0,28.0,16.0,15.0,13.0,44.0,7.0,10.0,15.0,12.0,12.0,6.0,15.0,12.0,8.0,6.0,18.0,21.0,13.0,22.0,26.0,19.0
9,92.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,65.0,0.0,0.0,0.0,65.0,66.0,0.0,0.0,0.0,0.0,57.0,0.0,56.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,100.0,51.0,0.0,80.0,0.0,51.0,0.0,52.0,0.0,57.0,0.0,56.0,0.0,0.0,52.0,49.0,52.0,0.0,0.0,50.0,52.0,51.0,98.0,0.0,47.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,44.0,0.0,0.0,0.0,48.0,0.0,46.0,0.0,0.0,0.0,44.0,0.0,41.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26.0,26.0,26.0,28.0,36.0,49.0,26.0,21.0,24.0,24.0,22.0,23.0,20.0,21.0,23.0,25.0,28.0,43.0,21.0,21.0,23.0,23.0,20.0,17.0,17.0,17.0,21.0,22.0,25.0,34.0,23.0,20.0,20.0,16.0,17.0,17.0,15.0,19.0,18.0,21.0,25.0,29.0,19.0,22.0,19.0,21.0,24.0,24.0,22.0,21.0,22.0,23.0,27.0,29.0,33.0,63.0,26.0,23.0,21.0,21.0,55.0,41.0,55.0,75.0,79.0,78.0,87.0,76.0,100.0,59.0,82.0,44.0,45.0,50.0,42.0,28.0,35.0,48.0,29.0,29.0,29.0,29.0,29.0,27.0,26.0,26.0,30.0,30.0,33.0,39.0,27.0,27.0,30.0,29.0,25.0
14,25.0,30.0,39.0,53.0,49.0,45.0,37.0,41.0,48.0,45.0,51.0,50.0,57.0,48.0,51.0,53.0,46.0,53.0,40.0,45.0,46.0,37.0,49.0,45.0,45.0,42.0,44.0,42.0,40.0,43.0,40.0,45.0,43.0,40.0,59.0,48.0,45.0,43.0,42.0,61.0,43.0,35.0,34.0,34.0,32.0,47.0,62.0,78.0,75.0,49.0,67.0,66.0,53.0,43.0,39.0,44.0,36.0,35.0,48.0,44.0,39.0,31.0,34.0,30.0,28.0,24.0,27.0,27.0,25.0,27.0,32.0,30.0,43.0,25.0,34.0,29.0,26.0,100.0,29.0,35.0,42.0,34.0,52.0,88.0,38.0,33.0,33.0,37.0,33.0,26.0,27.0,33.0,26.0,35.0,35.0
15,100.0,36.0,20.0,23.0,18.0,28.0,28.0,27.0,44.0,85.0,75.0,79.0,79.0,50.0,29.0,25.0,22.0,28.0,34.0,44.0,47.0,59.0,34.0,33.0,29.0,36.0,25.0,23.0,18.0,16.0,17.0,36.0,18.0,16.0,19.0,20.0,18.0,19.0,16.0,17.0,11.0,10.0,16.0,14.0,14.0,14.0,18.0,13.0,16.0,16.0,11.0,11.0,9.0,11.0,11.0,13.0,11.0,14.0,13.0,9.0,13.0,12.0,12.0,10.0,10.0,7.0,6.0,8.0,7.0,9.0,7.0,7.0,7.0,8.0,7.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,9.0,6.0,4.0,7.0,7.0,6.0,5.0,6.0
18,0.0,16.0,17.0,0.0,0.0,15.0,0.0,15.0,15.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,18.0,12.0,18.0,30.0,0.0,0.0,11.0,0.0,17.0,13.0,19.0,12.0,27.0,22.0,15.0,17.0,0.0,27.0,21.0,14.0,21.0,11.0,21.0,27.0,13.0,32.0,29.0,20.0,47.0,18.0,13.0,14.0,40.0,26.0,27.0,65.0,28.0,17.0,15.0,20.0,22.0,44.0,15.0,29.0,10.0,10.0,29.0,10.0,19.0,12.0,37.0,31.0,35.0,32.0,37.0,100.0,85.0,48.0,32.0,29.0,23.0,37.0,41.0,18.0,37.0,34.0,34.0,29.0,25.0,22.0,30.0,8.0,17.0,13.0
20,30.0,36.0,27.0,27.0,24.0,23.0,24.0,44.0,28.0,30.0,30.0,27.0,25.0,25.0,21.0,21.0,20.0,22.0,20.0,21.0,27.0,28.0,26.0,21.0,19.0,20.0,18.0,18.0,22.0,20.0,15.0,16.0,18.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,12.0,13.0,13.0,12.0,11.0,17.0,11.0,25.0,57.0,24.0,36.0,45.0,20.0,32.0,37.0,34.0,17.0,16.0,13.0,14.0,13.0,15.0,21.0,26.0,71.0,61.0,46.0,43.0,100.0,44.0,56.0,44.0,32.0,23.0,24.0,24.0,28.0,24.0,12.0,12.0,15.0,14.0,12.0,11.0,11.0,15.0,11.0,11.0,13.0,11.0,10.0,10.0,10.0,9.0
21,13.0,15.0,10.0,15.0,7.0,21.0,17.0,11.0,19.0,11.0,14.0,15.0,15.0,17.0,12.0,8.0,21.0,9.0,11.0,21.0,10.0,14.0,24.0,17.0,14.0,20.0,15.0,18.0,21.0,14.0,17.0,25.0,22.0,22.0,20.0,14.0,20.0,23.0,22.0,48.0,48.0,38.0,29.0,36.0,34.0,42.0,37.0,39.0,42.0,39.0,29.0,39.0,34.0,38.0,50.0,58.0,37.0,50.0,58.0,42.0,34.0,56.0,44.0,57.0,56.0,56.0,45.0,54.0,41.0,50.0,41.0,22.0,28.0,81.0,55.0,57.0,51.0,41.0,34.0,35.0,36.0,33.0,31.0,28.0,45.0,26.0,37.0,34.0,37.0,38.0,34.0,100.0,65.0,40.0,42.0
22,43.0,47.0,46.0,48.0,48.0,57.0,29.0,48.0,57.0,48.0,43.0,40.0,50.0,34.0,61.0,73.0,91.0,55.0,41.0,50.0,54.0,54.0,48.0,77.0,56.0,56.0,46.0,41.0,49.0,52.0,48.0,42.0,58.0,45.0,55.0,53.0,38.0,53.0,51.0,35.0,41.0,61.0,60.0,54.0,63.0,80.0,53.0,53.0,61.0,54.0,53.0,60.0,64.0,66.0,40.0,54.0,32.0,67.0,51.0,73.0,49.0,45.0,46.0,66.0,57.0,45.0,45.0,49.0,32.0,46.0,46.0,60.0,50.0,43.0,100.0,81.0,72.0,78.0,87.0,54.0,42.0,57.0,71.0,77.0,60.0,59.0,93.0,64.0,69.0,57.0,68.0,67.0,86.0,76.0,46.0
24,78.0,96.0,84.0,81.0,79.0,78.0,73.0,76.0,76.0,84.0,81.0,77.0,78.0,87.0,92.0,90.0,96.0,94.0,95.0,100.0,100.0,90.0,88.0,95.0,89.0,89.0,85.0,87.0,87.0,84.0,81.0,92.0,87.0,83.0,95.0,85.0,75.0,80.0,78.0,78.0,77.0,81.0,83.0,83.0,82.0,88.0,85.0,78.0,78.0,76.0,72.0,75.0,77.0,85.0,82.0,85.0,80.0,88.0,90.0,74.0,69.0,75.0,76.0,78.0,82.0,72.0,77.0,76.0,72.0,79.0,74.0,80.0,71.0,85.0,70.0,73.0,74.0,69.0,71.0,76.0,72.0,70.0,72.0,75.0,72.0,70.0,69.0,69.0,87.0,68.0,66.0,66.0,67.0,72.0,67.0
27,53.0,32.0,45.0,11.0,44.0,21.0,48.0,52.0,47.0,52.0,28.0,48.0,29.0,70.0,47.0,59.0,26.0,42.0,13.0,13.0,25.0,33.0,20.0,12.0,64.0,33.0,28.0,43.0,19.0,19.0,17.0,25.0,33.0,20.0,11.0,38.0,42.0,18.0,38.0,21.0,18.0,21.0,21.0,31.0,24.0,30.0,29.0,33.0,30.0,27.0,28.0,36.0,27.0,30.0,21.0,25.0,29.0,46.0,27.0,27.0,43.0,35.0,14.0,24.0,42.0,35.0,30.0,17.0,19.0,23.0,31.0,28.0,100.0,67.0,48.0,29.0,24.0,32.0,12.0,35.0,23.0,27.0,46.0,26.0,51.0,57.0,21.0,26.0,27.0,17.0,23.0,46.0,31.0,39.0,34.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,16.0,28.0,18.0,12.0,20.0,12.0,18.0,14.0,34.0,12.0,24.0,15.0,12.0,7.0,6.0,13.0,8.0,8.0,8.0,4.0,5.0,2.0,24.0,27.0,21.0,100.0,45.0,32.0,28.0,29.0,55.0,32.0,32.0,67.0,92.0,55.0,81.0,66.0,39.0,50.0,44.0,42.0,68.0,82.0,73.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,30.0,31.0,33.0,27.0,26.0,51.0,66.0,35.0,55.0,35.0,43.0,37.0,41.0,47.0,21.0,31.0,100.0,94.0,62.0,46.0,77.0,63.0,37.0,42.0,89.0,40.0,33.0,33.0,45.0,41.0,65.0,48.0,93.0,57.0,39.0,40.0,34.0,32.0,36.0,47.0,19.0,27.0,54.0,33.0,28.0,19.0,35.0,12.0,27.0,33.0,17.0,16.0,13.0,13.0,13.0,16.0,30.0,13.0,15.0,8.0,11.0,10.0,12.0
30,2.0,15.0,35.0,22.0,13.0,7.0,9.0,9.0,7.0,9.0,9.0,6.0,11.0,14.0,7.0,10.0,9.0,14.0,9.0,6.0,11.0,26.0,21.0,13.0,10.0,9.0,16.0,14.0,19.0,16.0,12.0,19.0,23.0,31.0,25.0,35.0,26.0,33.0,27.0,16.0,20.0,16.0,15.0,21.0,43.0,29.0,34.0,35.0,36.0,34.0,100.0,55.0,26.0,31.0,37.0,25.0,20.0,23.0,22.0,17.0,27.0,20.0,26.0,17.0,18.0,16.0,11.0,10.0,13.0,11.0,6.0,7.0,10.0,10.0,10.0,12.0,7.0,8.0,9.0,15.0,9.0,6.0,6.0,12.0,9.0,8.0,8.0,11.0,6.0,9.0,9.0,18.0,18.0,14.0,15.0
36,34.0,27.0,28.0,30.0,86.0,55.0,57.0,51.0,51.0,51.0,69.0,55.0,47.0,100.0,81.0,41.0,88.0,86.0,64.0,80.0,41.0,74.0,51.0,59.0,88.0,72.0,43.0,74.0,62.0,53.0,52.0,71.0,34.0,64.0,46.0,91.0,68.0,49.0,44.0,48.0,53.0,71.0,64.0,66.0,68.0,75.0,42.0,46.0,54.0,28.0,41.0,65.0,42.0,74.0,83.0,62.0,63.0,61.0,56.0,39.0,41.0,72.0,36.0,44.0,53.0,96.0,44.0,68.0,52.0,48.0,45.0,38.0,46.0,62.0,34.0,33.0,30.0,26.0,47.0,43.0,36.0,31.0,28.0,29.0,49.0,30.0,23.0,23.0,32.0,28.0,53.0,30.0,19.0,27.0,24.0
39,14.0,12.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,11.0,7.0,6.0,6.0,38.0,11.0,7.0,6.0,5.0,6.0,6.0,7.0,100.0,23.0,13.0,27.0,12.0,11.0,8.0,7.0,7.0,9.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,10.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,5.0
41,22.0,12.0,19.0,27.0,24.0,14.0,22.0,26.0,41.0,50.0,69.0,66.0,48.0,35.0,59.0,44.0,38.0,42.0,58.0,40.0,29.0,39.0,58.0,42.0,41.0,17.0,30.0,24.0,37.0,30.0,22.0,25.0,24.0,33.0,40.0,51.0,31.0,27.0,22.0,26.0,15.0,17.0,14.0,23.0,19.0,26.0,22.0,22.0,29.0,23.0,17.0,20.0,24.0,26.0,30.0,25.0,11.0,36.0,31.0,26.0,21.0,31.0,44.0,44.0,53.0,55.0,38.0,31.0,21.0,30.0,23.0,38.0,28.0,21.0,14.0,27.0,23.0,34.0,21.0,35.0,32.0,16.0,23.0,41.0,22.0,20.0,14.0,55.0,34.0,41.0,34.0,24.0,31.0,100.0,66.0
45,30.0,39.0,35.0,29.0,34.0,34.0,32.0,36.0,38.0,39.0,33.0,38.0,38.0,40.0,42.0,36.0,41.0,48.0,45.0,46.0,54.0,54.0,58.0,70.0,67.0,82.0,70.0,77.0,82.0,90.0,73.0,73.0,72.0,73.0,69.0,67.0,69.0,75.0,79.0,77.0,85.0,88.0,84.0,82.0,74.0,84.0,74.0,74.0,71.0,66.0,65.0,66.0,71.0,73.0,75.0,75.0,77.0,76.0,77.0,80.0,93.0,79.0,75.0,68.0,71.0,71.0,62.0,63.0,60.0,52.0,59.0,66.0,59.0,58.0,72.0,71.0,69.0,61.0,67.0,76.0,71.0,65.0,63.0,100.0,83.0,67.0,71.0,68.0,66.0,67.0,64.0,67.0,68.0,68.0,73.0
46,47.0,43.0,92.0,43.0,45.0,0.0,88.0,43.0,0.0,42.0,38.0,0.0,39.0,0.0,38.0,34.0,35.0,33.0,34.0,35.0,68.0,33.0,31.0,32.0,48.0,0.0,33.0,0.0,30.0,93.0,34.0,100.0,66.0,32.0,30.0,31.0,31.0,58.0,47.0,42.0,87.0,0.0,43.0,42.0,28.0,82.0,26.0,27.0,40.0,0.0,29.0,54.0,42.0,27.0,0.0,29.0,44.0,29.0,28.0,0.0,0.0,26.0,41.0,25.0,0.0,78.0,0.0,27.0,25.0,40.0,50.0,25.0,25.0,23.0,64.0,23.0,0.0,60.0,37.0,24.0,47.0,0.0,23.0,47.0,0.0,46.0,0.0,23.0,0.0,23.0,0.0,23.0,46.0,46.0,42.0
50,31.0,57.0,79.0,69.0,29.0,45.0,56.0,41.0,50.0,68.0,33.0,63.0,100.0,46.0,37.0,33.0,38.0,33.0,26.0,44.0,78.0,32.0,31.0,42.0,45.0,68.0,43.0,41.0,33.0,66.0,41.0,62.0,29.0,24.0,33.0,24.0,60.0,53.0,74.0,52.0,35.0,27.0,53.0,37.0,39.0,18.0,22.0,22.0,47.0,30.0,37.0,26.0,14.0,29.0,21.0,31.0,29.0,22.0,31.0,15.0,26.0,28.0,24.0,24.0,34.0,17.0,36.0,12.0,17.0,23.0,27.0,16.0,16.0,20.0,20.0,25.0,29.0,23.0,29.0,10.0,15.0,16.0,11.0,23.0,21.0,15.0,13.0,25.0,21.0,20.0,8.0,11.0,11.0,15.0,14.0
51,100.0,95.0,91.0,80.0,78.0,78.0,75.0,77.0,71.0,69.0,59.0,57.0,65.0,56.0,54.0,59.0,63.0,64.0,59.0,60.0,56.0,52.0,51.0,52.0,55.0,50.0,48.0,51.0,50.0,52.0,47.0,49.0,48.0,53.0,54.0,48.0,49.0,47.0,42.0,41.0,45.0,45.0,46.0,96.0,44.0,39.0,38.0,37.0,40.0,39.0,40.0,35.0,35.0,35.0,42.0,36.0,35.0,33.0,33.0,33.0,39.0,35.0,35.0,34.0,39.0,34.0,30.0,31.0,29.0,30.0,31.0,26.0,28.0,27.0,28.0,25.0,36.0,24.0,26.0,27.0,28.0,27.0,29.0,27.0,26.0,30.0,33.0,29.0,30.0,28.0,26.0,32.0,29.0,29.0,25.0
52,45.0,44.0,48.0,38.0,36.0,36.0,52.0,100.0,77.0,50.0,36.0,40.0,48.0,45.0,41.0,43.0,58.0,53.0,48.0,48.0,39.0,37.0,42.0,30.0,39.0,47.0,42.0,33.0,35.0,35.0,33.0,32.0,33.0,31.0,32.0,30.0,30.0,36.0,39.0,36.0,37.0,36.0,51.0,48.0,37.0,41.0,38.0,28.0,36.0,38.0,34.0,31.0,34.0,30.0,28.0,32.0,40.0,38.0,33.0,34.0,33.0,36.0,46.0,39.0,31.0,29.0,27.0,25.0,32.0,33.0,32.0,27.0,27.0,32.0,32.0,26.0,27.0,27.0,33.0,28.0,39.0,32.0,30.0,32.0,36.0,42.0,32.0,24.0,22.0,24.0,25.0,24.0,25.0,30.0,29.0
55,100.0,68.0,89.0,69.0,69.0,60.0,65.0,69.0,73.0,52.0,44.0,91.0,54.0,58.0,67.0,55.0,68.0,92.0,81.0,72.0,70.0,58.0,57.0,63.0,49.0,62.0,43.0,43.0,58.0,53.0,52.0,47.0,53.0,41.0,50.0,41.0,35.0,25.0,45.0,53.0,27.0,26.0,30.0,34.0,31.0,20.0,16.0,21.0,33.0,16.0,16.0,19.0,15.0,15.0,21.0,14.0,16.0,11.0,14.0,18.0,7.0,15.0,13.0,10.0,8.0,13.0,8.0,10.0,10.0,10.0,13.0,7.0,11.0,7.0,6.0,12.0,15.0,7.0,13.0,13.0,22.0,10.0,17.0,15.0,14.0,10.0,9.0,11.0,6.0,6.0,8.0,10.0,7.0,4.0,6.0
56,41.0,26.0,32.0,22.0,20.0,34.0,15.0,24.0,33.0,28.0,20.0,28.0,35.0,20.0,24.0,22.0,20.0,18.0,30.0,22.0,28.0,34.0,100.0,37.0,39.0,25.0,25.0,16.0,16.0,29.0,23.0,16.0,29.0,23.0,21.0,24.0,22.0,32.0,27.0,29.0,36.0,33.0,29.0,34.0,21.0,30.0,23.0,19.0,33.0,27.0,29.0,37.0,34.0,25.0,23.0,19.0,23.0,31.0,31.0,20.0,17.0,37.0,26.0,21.0,28.0,28.0,30.0,43.0,33.0,31.0,22.0,22.0,30.0,30.0,25.0,25.0,24.0,26.0,20.0,24.0,12.0,31.0,19.0,26.0,26.0,22.0,21.0,26.0,30.0,23.0,27.0,24.0,18.0,23.0,14.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,31.0,27.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,81.0,0.0,0.0,41.0,0.0,68.0,53.0,39.0,26.0,0.0,50.0,25.0,26.0,27.0,100.0,26.0,0.0,53.0,27.0,0.0,27.0,0.0,26.0,25.0,24.0,0.0,46.0,25.0,24.0,0.0,0.0,0.0,0.0,70.0,24.0,24.0,0.0,25.0,0.0,0.0,22.0,46.0,22.0,44.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,8.0,28.0,100.0,98.0,84.0,64.0,64.0,50.0,43.0,54.0,50.0,33.0,26.0,49.0,41.0,20.0,26.0,17.0,17.0,18.0,35.0,17.0,14.0,13.0,12.0,11.0,20.0,10.0,10.0,9.0,9.0,12.0,12.0,12.0,9.0,12.0,7.0,25.0,29.0,19.0,21.0,23.0,38.0,26.0,16.0,14.0,25.0,30.0,20.0,13.0,14.0,13.0,15.0,9.0,9.0,12.0,6.0,6.0,9.0,8.0,6.0,7.0,7.0,7.0,13.0,7.0,10.0,6.0,7.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,4.0,5.0,3.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,23.0,22.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,12.0,17.0,12.0,17.0,18.0,19.0,27.0,11.0,22.0,31.0,64.0,65.0,73.0,39.0,32.0,60.0,46.0,59.0,62.0,31.0,53.0,41.0,46.0,53.0,60.0,52.0,70.0,65.0,74.0,70.0,84.0,77.0,54.0,83.0,100.0,65.0,79.0,87.0
65,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,7.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,2.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,2.0,9.0,7.0,65.0,100.0,64.0,83.0,36.0,63.0,48.0,37.0,30.0,35.0,22.0,38.0,17.0,22.0,22.0,9.0,12.0,10.0,6.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,5.0,4.0,6.0,2.0,10.0,3.0,4.0,5.0,6.0,11.0,24.0,12.0,19.0,38.0,17.0,12.0,11.0,15.0,15.0,11.0,19.0,20.0,12.0,9.0,4.0,2.0,7.0,7.0,10.0,5.0
67,72.0,68.0,76.0,71.0,82.0,89.0,100.0,59.0,57.0,57.0,57.0,57.0,55.0,64.0,65.0,65.0,67.0,75.0,99.0,52.0,46.0,45.0,46.0,45.0,48.0,55.0,54.0,63.0,59.0,64.0,81.0,46.0,43.0,42.0,41.0,44.0,48.0,53.0,56.0,59.0,57.0,59.0,88.0,46.0,44.0,43.0,44.0,47.0,48.0,51.0,51.0,51.0,52.0,51.0,75.0,41.0,41.0,39.0,38.0,41.0,47.0,59.0,64.0,65.0,64.0,72.0,96.0,61.0,42.0,33.0,35.0,38.0,37.0,42.0,41.0,44.0,44.0,48.0,67.0,38.0,41.0,38.0,38.0,42.0,42.0,44.0,48.0,49.0,44.0,41.0,46.0,63.0,40.0,36.0,39.0
68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,29.0,10.0,8.0,10.0,5.0,4.0,4.0,18.0,46.0,100.0,12.0,9.0,14.0,21.0,8.0,6.0,10.0,8.0,11.0,13.0,7.0,8.0,10.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,6.0,2.0,3.0,4.0,6.0,3.0,3.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0
