,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
777,2j5N97IBFhpmtZ7n7qTLZw,Dani Gurgel,2018-02-18T21:16:44Z,2014-09-29,1238.0,2089,['deep brazilian pop'],26
778,2jIhiAEbmLrPj69WLM2R3V,The Magic Lantern,2017-12-20T21:49:18Z,2017-10-30,51.0,3359,[],35
779,2jQ6wRQ7yP1UrctodeuYQP,Butcher Brown,2017-04-13T17:55:49Z,2014-10-21,905.0,12555,"['indie jazz', 'indie soul', 'neo r&b', 'rva indie']",41
780,2jzYokwEUbqZkLyYN9dHeE,The Surfing Magazines,2017-07-14T22:14:55Z,2017-05-31,44.0,2791,[],26
781,2jzc5TC5TVFLXQlBNiIUzE,a-ha,2019-10-18T03:23:51Z,1990-10-27,10583.0,999576,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",74
782,2k6NFUTaSIrzYWaw4JgIv0,Stefan Ponce,2018-01-08T21:48:23Z,2017-08-31,130.0,655,[],29
783,2k91aXkeSCPtrFGQzvIgu3,Louis Andriessen,2015-03-02T07:18:44Z,1994-08-05,7514.0,3514,"['avant-garde', 'contemporary classical', 'dutch contemporary classical', 'minimal', 'serialism']",25
784,2kGBy2WHvF0VdZyqiVCkDT,Father John Misty,2012-05-14T01:19:59Z,2012-05-01,0.0,502899,"['art pop', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'stomp and holler']",67
785,2ka8z2lwkcp13fG8Wyv3xU,Béla Fleck,2012-04-03T05:59:26Z,1979,6.0,42172,"['banjo', 'bluegrass', 'instrumental bluegrass', 'jam band', 'old-time', 'progressive bluegrass']",46
786,2lLeVbtJ3XiJb4zPHUl0yI,Georgy Sviridov,2016-01-28T18:47:11Z,2015-01-06,387.0,1663,"['russian modern classical', 'russian romanticism']",29
787,2lN3yllrsFyoobMnKSfzsI,Novalima,2015-06-18T19:51:07Z,2015-05-19,6.0,19842,"['cumbia', 'latintronica', 'musica afroperuana']",41
788,2lZkXWxkZsZzBocxMjN1or,Sunny Day Real Estate,2014-12-10T08:13:58Z,1994-05-10,7519.0,78187,"['alternative rock', 'emo', 'emo punk', 'indie rock', 'lo-fi', 'midwest emo', 'post-hardcore', 'screamo']",47
789,2lmWYYMM80tsoDES4aUB1m,Potatohead People,2016-06-06T17:42:57Z,2015-03-02,462.0,13662,"['indie jazz', 'indie soul', 'neo r&b', 'vancouver indie']",45
790,2mJpDXdX4novEaO3vuSN2i,Christian McBride Big Band,2017-09-26T01:43:33Z,2017-09-22,4.0,2671,[],18
791,2mVVjNmdjXZZDvhgQWiakk,Khruangbin,2017-11-13T21:20:30Z,2017-10-31,1.0,418692,"['indie soul', 'neo-psychedelic']",70
792,2mcNCn1qbZUQ3J9KHapUxj,The Dø,2013-08-26T07:42:34Z,2011-11-07,542.0,239426,"['chamber pop', 'french indie pop', 'french indietronica', 'french rock']",56
793,2n6FviARgtjjimZXu18uRM,Le Tigre,2013-10-06T07:37:48Z,2004-01-01,3566.0,115782,"['alternative dance', 'dance-punk', 'electroclash', 'indie rock', 'new rave', 'queercore', 'riot grrrl']",51
794,2nGoKcLdXktxEXvMdTDsIT,Alikiba,2019-04-10T14:07:18Z,2018-12-15,116.0,11705,"['azontobeats', 'benga', 'bongo flava', 'ugandan pop']",39
795,2nJbrvWs3yqrNhHFOIuiFx,Philip Dizack,2019-06-22T22:35:09Z,2012-10-02,2454.0,515,[],13
796,2nSY0EIzz3eM6Y6Pc7VXkO,Ill Considered,2018-04-04T20:17:38Z,2017-06-14,294.0,5102,"['indie jazz', 'uk contemporary jazz']",29
797,2nUbg56ljfs5oXyB1UNiY8,Helvetia,2014-06-18T19:55:54Z,2008-01-01,2360.0,11202,"['garage psych', 'indie garage rock', 'noise pop', 'slow core']",38
798,2ohBjgFT9V0LRDWO2wF9DJ,Novos Baianos,2017-09-20T04:26:16Z,1972,16699.0,234029,"['baile pop', 'bossa nova', 'brazilian indie', 'brazilian psychedelic', 'forro', 'mpb', 'samba']",58
799,2oofDquWt9tMCETKAHmhlG,Mocky,2016-10-26T18:17:29Z,2015-06-30,187.0,18695,"['funk', 'indie jazz', 'indie soul']",49
800,2p0UyoPfYfI76PCStuXfOP,Franz Schubert,2014-09-05T06:22:31Z,2004-01-10,3891.0,601165,"['classical', 'classical era', 'early romantic era']",67
801,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,2013-05-22T22:50:01Z,2000-01-01,4.0,496654,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'rap']",68
802,2pLvihTVAElhBCw7HcrIUC,Archy Marshall,2019-10-03T17:33:27Z,2015-12-10,1393.0,51161,['uk alternative hip hop'],46
803,2pTCZ9C1fXdaVlv6d5EIXM,Chrome Sparks,2014-12-03T06:56:21Z,2013,146.0,96511,"['chillwave', 'indietronica', 'shimmer psych', 'vapor soul', 'vapor twitch']",56
804,2pdQlMZKji957v54m09dSg,Duplo Remote,2016-08-04T21:36:56Z,2000-11-13,5743.0,24,['deep idm'],0
805,2pst3pDewxsl4kJERuDZpp,Overcoats,2016-05-27T20:42:39Z,2015-06-28,334.0,32704,"['electropop', 'nyc pop']",53
806,2q37Nw8NND2z1T1KU5XVfn,Christian Scott aTunde Adjuah,2012-03-29T01:08:27Z,2007-01-01,0.0,81065,"['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'jazz trumpet', 'neo r&b', 'new orleans jazz']",51
807,2qFOYqFxPaIwEnffVhJhEn,The Dip,2017-11-30T22:46:53Z,2016-05-12,237.0,44388,"['funk', 'retro soul']",58
808,2qXxyzCMW4mPE2LVLVL78F,Woo Park,2015-01-01T19:43:09Z,2014-12-02,30.0,8109,['neo r&b'],34
809,2qhmNI4ZHPpeDutdg473Z3,The Future Sound Of London,2016-07-17T04:26:20Z,1996-01-01,7503.0,71549,"['abstract', 'big beat', 'breakbeat', 'drill and bass', 'drum and bass', 'electronica', 'hardcore techno', 'intelligent dance music', 'techno', 'trip hop']",45
810,2rDxtYUzTAYJJE3Bl3Z5IN,Jeff Tweedy,2019-09-21T18:31:45Z,2018-11-30,295.0,45276,"['alternative country', 'alternative rock', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie rock', 'lo-fi', 'new americana', 'roots rock', 'singer-songwriter', 'slow core', 'stomp and holler']",49
811,2rkqNyTv7M9XojH9X4eKSb,Bly de Blyant,2017-10-05T00:13:48Z,2014-01-31,1343.0,264,[],3
812,2rkxM3pdssb12wllaVcYSC,The Seshen,2016-10-03T20:11:51Z,2016-01-01,276.0,8395,[],33
813,2rmMyZC0sUD1a3jkDxp7iY,Balkan Beat Box,2013-09-07T04:32:53Z,2005-09-20,2909.0,119680,"['balkan brass', 'gypsy punk', 'world fusion']",47
814,2rxiXXKdtR1e3ByeaGs7tv,HIRA,2018-09-23T01:47:31Z,2018-07-31,54.0,1212,[],24
815,2s0438sn0pYL2OuukcFqPN,Kid Koala,2017-01-04T00:16:26Z,2016-12-02,33.0,68691,"['montreal indie', 'ninja', 'nu jazz', 'scratch', 'trip hop', 'turntablism']",54
816,2sAlo7Fey5cqBk5WJILSd8,Onra,2013-08-13T04:15:33Z,2012-06-12,427.0,96798,"['alternative hip hop', 'chillhop', 'japanese chillhop', 'wonky']",53
817,2sSGPbdZJkaSE2AbcGOACx,The Marías,2018-08-28T23:18:39Z,2018-08-17,11.0,196081,"['bedroom pop', 'indie pop', 'la indie']",65
818,2sf2owtFSCvz2MLfxmNdkb,Tinariwen,2016-05-27T21:41:49Z,2014-02-11,836.0,155116,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop', 'western saharan folk', 'world']",54
819,2skiByZr4MsWMxbAUMSFju,The Ondioline Orchestra,2018-03-28T00:49:15Z,2017-06-16,285.0,31,[],1
820,2snm3HmsnDUDxbIChdl2Oj,Justin Hurwitz,2015-01-23T08:08:55Z,2014-10-06,109.0,44518,"['hollywood', 'movie tunes']",66
821,2sriRQRt36DnfHtD68zZlj,Dorian Concept,2013-01-23T20:52:09Z,2011-03-28,667.0,23323,"['bass music', 'ninja', 'progressive jazz fusion', 'wonky']",37
822,2t5yZKDT7oAMkOFkoToViO,White Rabbits,2012-03-19T05:01:46Z,2012-03-06,13.0,25923,['stomp and holler'],36
823,2tVApsyMhUNv0jc7r18YUd,Nik Bärtsch,2019-02-19T23:05:02Z,2016-03-18,1068.0,10539,"['contemporary jazz', 'dark jazz', 'german jazz', 'norwegian jazz']",33
824,2tVKKTWBbwekgW6L0WYrwu,Throttle Elevator Music,2017-01-04T18:38:05Z,2017-01-02,2.0,848,['progressive jazz fusion'],9
825,2te8VJxgUxcElC8Uq6eJs6,Cibo Matto,2013-10-06T07:37:48Z,2007-03-20,2392.0,42370,"['shibuya-kei', 'trip hop']",41
826,2u8XrClzxI2oW7ynCQEtaM,Petr Eben,2019-05-31T16:38:15Z,1998-01-01,7820.0,231,['czech contemporary classical'],12
827,2uYWxilOVlUdk4oV9DvwqK,Mitski,2017-01-13T21:37:18Z,2016-06-17,26.0,241182,"['art pop', 'brooklyn indie', 'chamber pop', 'dance pop', 'escape room', 'folk-pop', 'indie pop', 'indie rock']",66
828,2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,2012-01-26T06:53:06Z,2012-02-20,0.0,204989,"['art pop', 'chamber pop', 'chillwave', 'dance pop', 'dream pop', 'electropop', 'experimental pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'new rave', 'seattle indie', 'singer-songwriter']",61
829,2uf32eac3VFGHBonRKaLXQ,Women,2017-01-19T18:57:18Z,2008-10-07,3026.0,17905,"['dance-punk', 'experimental rock', 'freak folk', 'garage psych', 'lo-fi', 'noise pop', 'noise rock', 'nu gaze', 'popgaze', 'shoegaze', 'slow core']",35
830,2ulsWWQbCMLGoMhBgByMy4,Jonah Levine Collective,2017-12-02T09:05:51Z,2017-03-17,260.0,1487,[],16
831,2upjmNmngAXZcra9dQRR2l,Cut Worms,2017-11-16T21:52:48Z,2017-10-20,27.0,10507,['indie garage rock'],39
832,2uwZN25rCAU2eRrsBtmsaV,Awa Poulo,2017-04-24T21:24:55Z,2017-01-20,94.0,665,['malian traditional'],9
833,2vDx1L0ybkyK7aFtiyz3LP,Slime,2017-10-03T19:30:46Z,2015-08-14,781.0,1613,[],26
