,Artist ID,Followers,Genres,Artist Popularity
53,7a7Vs88vzOcmHh4GOpUEJJ,5460,"['contemporary jazz', 'contemporary post-bop', 'jazz fusion', 'jazz guitar', 'swedish jazz']",34
54,5qOfTfMzTj2dvvpWKzIFk6,60442,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz trio']",49
55,1VuDXcZRFMb2Kcv04m9Wj3,3097,['classify'],37
56,1mck5dIwHpn9Roun7jD1lJ,258,[],17
57,7fw0E8WHdG3r9SuPBcGmWk,104251,"['australian hip hop', 'conscious hip hop', 'escape room', 'indie soul']",58
58,5a2w2tgpLwv26BYJf2qYwu,120178,"['art pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'indietronica', 'transpop']",56
59,6OqhFYFJDnBBHas02HopPT,186756,"['dance pop', 'escape room', 'hyperpop']",61
60,053q0ukIDRgzwTr4vNSwab,909211,"['alternative dance', 'art pop', 'canadian electropop', 'chamber pop', 'chillwave', 'dance pop', 'dream pop', 'electropop', 'escape room', 'grave wave', 'indie pop', 'indietronica', 'metropopolis', 'new rave']",70
61,78pR36HrjrFVIml89h1y4v,3938,['norwegian alternative rock'],27
62,7xNPROyVfkH4mcIxxCxySm,37793,['danish pop'],57
63,6E3y6qSvu3m0diUN95sLRz,1944,[],29
64,7enc8y57J9xcPixlwac4iM,13043,['australian indie'],37
65,4I2BJf80C0skQpp1sQmA0h,438095,"['alternative rock', 'anti-folk', 'baroque pop', 'chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'scottish indie', 'scottish rock', 'singer-songwriter', 'twee pop']",63
66,17yWcCF4X2x4Y6aoFqqJta,2858,['electro jazz'],30
67,52ithxL8nGscRP6ocUO1SG,4031,"['arab alternative', 'palestinian pop']",24
68,0taCSk8CSQVl8RZhV4tU5N,1344,"['chamber psych', 'collage pop']",31
69,3oF2KEIn3rBRaGktWCwKdg,1174,['dutch jazz'],23
70,7DODyub1vgGMDRgcd5Lb83,56,[],4
71,0tIODqvzGUoEaK26rK4pvX,83869,"['art rock', 'avant-garde jazz', 'experimental', 'experimental rock', 'free improvisation', 'free jazz', 'jazz funk', 'no wave', 'spiritual jazz']",47
72,1X9fqdEbrb6E8KjqC09GDJ,11356,['jazz trio'],31
73,6nB0iY1cjSY1KyhYyuIIKH,570073,"['alternative r&b', 'art pop', 'dance pop', 'electropop', 'escape room', 'indie r&b', 'pop', 'trip hop']",74
74,4tvKz56Tr39bkhcQUTO0Xr,941863,"['australian indie folk', 'chamber pop', 'folk-pop', 'indie folk', 'neo mellow']",73
75,675tsBPpaZtqyiBwEf3ZEP,131872,"['deep new americana', 'folk-pop', 'indie folk', 'new americana', 'progressive bluegrass', 'stomp and holler']",65
76,6imbHAlhHrFwtsOgqpeBK2,70490,"['australian indie', 'australian indie folk']",48
77,5a2EaR3hamoenG9rDuVn8j,3943623,"['funk', 'funk rock', 'minneapolis sound', 'motown']",76
78,4wXchxfTTggLtzkoUhO86Q,97326,"['art pop', 'indie pop', 'indie rock', 'small room']",58
79,0U7iI0Dk4Ojvi17nZboNO4,36412,"['indie garage rock', 'newcastle nsw indie']",50
80,4XmjReuskRGpqi10sc9CpG,325,['brooklyn indie'],5
81,1NS04rPtsyC8aRGh065pIw,97,['japanese jazz'],7
82,5gqhueRUZEa7VDnQt4HODp,358849,"['chamber pop', 'compositional ambient', 'electronica', 'focus', 'neo-classical', 'neoclassical']",69
83,4mw86zm4QZIL8SksdyE6OU,113695,"['chamber pop', 'compositional ambient', 'folktronica', 'icelandic electronic', 'icelandic indie', 'icelandic pop', 'post-rock']",46
84,2VKfXEWzhUi9siHBDTI02Y,104339,"['compositional ambient', 'focus', 'neo-classical']",63
85,0D3h8NZqNp7BN97JwtV6eW,65622,"['contemporary jazz', 'jazz piano']",47
