,Primary Artist,Track Name,Popularity,Added At,Release Date,Artist ID,Track ID,Playlist Date - Release Date,Days Until Discovery
2903,Arturo Cipriano,Las Pulgas Freeway,21,2014-12-03T06:52:35Z,2007-01-01,5MagvaL80lMCb6ZTiNHW0u,5AFlumcmhChuLqzrkPzj0M,2893 days 06:52:35.000000000,2893.0
2904,Stevie Wonder,My Cherie Amour,0,2014-12-19T09:00:26Z,1999-11-23,7guDJrEfX3qb6FEbdPA5qi,5QaIkJU1JZ1IgrdyfIW5Bx,5505 days 09:00:26.000000000,5505.0
2905,Carly Simon,You're so Vain,76,2014-12-03T06:48:13Z,1972,4FtSnMlCVxCswABUmdhwpm,2DnJjbjNTV9Nd5NOa1KGba,15677 days 06:48:13.000000000,15677.0
2906,Merrilee Rush & The Turnabouts,Angel of the Morning,44,2014-12-10T07:52:09Z,2004,5TnMVQgTIbp6z3AydwnHW6,27QxL30kLR6RyIjLXCMFdU,3996 days 07:52:09.000000000,3996.0
2907,The Guess Who,No Time,46,2014-12-03T06:52:22Z,1971,0cQuYRSzlItquYxsQKDvVc,19bR4aKlr6fD1eAHDCmr2l,16042 days 06:52:22.000000000,16042.0
2908,Local Natives,Airplanes,49,2014-12-16T20:13:09Z,2010-02-16,75dQReiBOHN37fQgWQrIAJ,6qsArsTq6WoqtUFUe1e15W,1764 days 20:13:09.000000000,1764.0
2909,The Sheepdogs,I Don't Know,48,2014-12-16T06:24:25Z,2011-08-02,4U33udokhmKATsu8UoqUEN,4A4DPAyhXSTzehnBstdAnt,1232 days 06:24:25.000000000,1232.0
2910,Unknown Mortal Orchestra,Swim and Sleep (Like a Shark),41,2014-12-03T06:59:50Z,2013-10-22,1LeVJ5GPeYDOVUjxx1y7Rp,0nWNsAGL83rLorldSfdBii,407 days 06:59:50.000000000,407.0
2911,Sunny Day Real Estate,Seven,0,2014-12-10T08:13:58Z,1994-05-10,2lZkXWxkZsZzBocxMjN1or,1QpHhKFLbcN2alQ9YFRL0l,7519 days 08:13:58.000000000,7519.0
2912,Hella,Headless,26,2014-12-03T06:54:44Z,2011-08-30,1n861RIk6CTAWncgHR9UHg,7IzLncpfBYBZxbzHePxTOC,1191 days 06:54:44.000000000,1191.0
2913,Pumpkin,Louder,0,2014-12-04T23:56:19Z,2014-05-26,3Dc2S9tp0DjbwBnKPXPkFo,3PKroYP0O6UQPMdHeVe0rx,192 days 23:56:19.000000000,192.0
2914,D'Angelo,Sugah Daddy,58,2014-12-16T19:54:21Z,2014-12-15,336vr2M3Va0FjyvB55lJEd,53l4LGUeZKCDZI1u25kQDN,1 days 19:54:21.000000000,1.0
2915,Brian Blade & The Fellowship Band,Down River,20,2014-12-09T03:05:05Z,2014-01-01,4gjFkHMQ2r46oQ7gsIQaCF,1SLbPqTB3xJjCP2RLWGxuY,342 days 03:05:05.000000000,342.0
2916,Daniel Lanois,Rocco,0,2014-12-25T21:06:30Z,2014-10-24,5S0AJvE9NB1kGrXRfYh690,1TaHLVR0Y5qKzZywm9dr1b,62 days 21:06:30.000000000,62.0
2917,Kairos,November,0,2014-10-26T21:23:12Z,2014-05-20,5NneE7IT3ZR0ZK3ML1bPIX,5SgKmwKhkqxCuIvTv9zT2q,159 days 21:23:12.000000000,159.0
2918,Haywire,Marijuana (Originally By Chrome Sparks),0,2014-11-05T00:09:51Z,,,,,
2919,Björk,Crystalline,31,2014-11-03T01:32:59Z,2011-10-11,7w29UYBi0qsHi5RTcv3lmA,451t6lrYth1CDL2oZaZUFP,1119 days 01:32:59.000000000,1119.0
2920,Bonobo,All In Forms,47,2014-11-17T04:53:31Z,2010-03-29,0cmWgDlu9CwTgxPhf403hb,4SxoponB2oxqjuOSNYhTjb,1694 days 04:53:31.000000000,1694.0
2921,The Foreign Exchange,If I Knew Then (feat. Carmen Rodgers),17,2014-10-28T20:27:33Z,2013-09-24,60R4M19QBXvs0gO4IL6CpS,2dPnxkl45qeYqoTfHymk7E,399 days 20:27:33.000000000,399.0
