,Primary Artist,Track Name,Popularity,Added At,Release Date,Artist ID,Track ID,Playlist Date - Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
972,Mid-Air Thief,These Chains 쇠사슬,38,2018-12-05T21:18:42Z,2018-07-31,0zGRuj0aQ3mM6i2dQoO8h0,6S4oMiQiX81CMpjCM2Nug5,127 days 21:18:42.000000000,127.0,10346,"['folktronica', 'korean indie rock']",40
973,Mid-Air Thief,Why? 왜?,33,2018-12-05T21:18:42Z,2018-07-31,0zGRuj0aQ3mM6i2dQoO8h0,67o6cRwDvwMlccYzLXAvpv,127 days 21:18:42.000000000,127.0,10346,"['folktronica', 'korean indie rock']",40
974,Foxwarren,Everything Apart,48,2018-12-05T21:18:42Z,2018-11-30,2dPIBvg7mU59dCTGjhPylV,6pGMi0hu2oMZHsL8y0zfxJ,5 days 21:18:42.000000000,5.0,14913,['saskatchewan indie'],47
975,Mark Ronson,She's Got Me (feat. Daniel Merriweather),37,2018-12-19T17:43:48Z,2003-08-29,3hv9jJF3adDNsBSIQDqcjp,0jTj0ubJL015ABWVQ7A78q,5591 days 17:43:48.000000000,5591.0,716205,"['dance pop', 'pop']",82
976,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),80,2018-12-16T07:25:32Z,2018-11-30,3hv9jJF3adDNsBSIQDqcjp,27rdGxbavYJeBphck5MZAF,16 days 07:25:32.000000000,16.0,716205,"['dance pop', 'pop']",82
977,Mark Ronson,Bang Bang Bang,25,2013-04-20T02:10:35Z,2010-08-17,3hv9jJF3adDNsBSIQDqcjp,5CfmDD8tKnmQUVGnHrE3sD,977 days 02:10:35.000000000,977.0,716205,"['dance pop', 'pop']",82
978,Brazilian Girls,Karaköy,37,2018-12-05T21:52:52Z,2018-04-13,6HdYUuBeK3g2MA2wGVCDcn,5XqDlsbgcumOPFafQYdxNu,236 days 21:52:52.000000000,236.0,37902,"['downtempo', 'electronica', 'trip hop']",44
979,Father John Misty,Mr. Tillman - Recorded at Spotify Studios NYC,39,2018-12-18T07:05:35Z,2018-08-15,2kGBy2WHvF0VdZyqiVCkDT,2g5Qvxi7uiwl8SIpu5hg8e,125 days 07:05:35.000000000,125.0,502899,"['art pop', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'stomp and holler']",67
980,Father John Misty,Mr. Tillman,46,2018-02-20T21:19:09Z,2018-02-21,2kGBy2WHvF0VdZyqiVCkDT,5ArtaQ740g1HgDugVOyzf7,0 days 00:00:00.000000000,0.0,502899,"['art pop', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'stomp and holler']",67
981,Father John Misty,Birdie,38,2018-01-09T21:53:16Z,2017-04-07,2kGBy2WHvF0VdZyqiVCkDT,3K7cL64fXPqeG3p06QDTdZ,277 days 21:53:16.000000000,277.0,502899,"['art pop', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'stomp and holler']",67
982,Father John Misty,Total Entertainment Forever,2,2017-03-08T16:59:33Z,2017-03-06,2kGBy2WHvF0VdZyqiVCkDT,2EDu3Xi4LORS0HRJ7kt0hF,2 days 16:59:33.000000000,2.0,502899,"['art pop', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'stomp and holler']",67
983,Father John Misty,Ballad of the Dying Man,0,2017-02-02T06:40:17Z,2017-02-01,2kGBy2WHvF0VdZyqiVCkDT,65w8nArxPq2EzOAhteymf0,1 days 06:40:17.000000000,1.0,502899,"['art pop', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'stomp and holler']",67
