,Primary Artist,Track Name,Popularity,Added At,Release Date,Artist ID,Track ID,Playlist Date - Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
903,Bruce Hornsby,Voyager One (feat. yMusic),11,2019-02-27T00:18:20Z,2019-02-22,2iM28IgKg89v1o7BTQAVPo,3wAwMhFxWpD1qXG4JQacLu,5 days 00:18:20.000000000,5.0,169483,"['album rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']",59
904,Abstract Orchestra,Accordion,40,2019-02-27T01:55:56Z,2018-11-02,4u3JZVJYDq2F3KgnUFw9dp,0dzJFfZkXNDqXDw9ugp5Hw,117 days 01:55:56.000000000,117.0,13467,"['alternative hip hop', 'indie jazz']",44
905,Abstract Orchestra,Official / Fall in Love,32,2018-03-12T22:29:50Z,2017-06-30,4u3JZVJYDq2F3KgnUFw9dp,5kb8gXHn6V1nN3TBeN1lLp,255 days 22:29:50.000000000,255.0,13467,"['alternative hip hop', 'indie jazz']",44
906,James Blake,Barefoot In The Park,11,2019-01-29T21:34:38Z,2019-01-18,53KwLdlmrlCelAZMaLVZqU,1F7ZElvJAvWKQ7UaPXg9cF,11 days 21:34:38.000000000,11.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
907,James Blake,Where's The Catch?,5,2019-01-18T21:11:33Z,2019-01-18,53KwLdlmrlCelAZMaLVZqU,5FYvk4lH8kLfRKHW8Ac0mL,0 days 21:11:33.000000000,0.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
908,James Blake,Don't Miss It,4,2018-06-15T06:06:25Z,2018-06-04,53KwLdlmrlCelAZMaLVZqU,1sKuHiB2kQ6JORnS38wU9y,11 days 06:06:25.000000000,11.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
909,James Blake,Vincent,54,2018-01-04T22:16:07Z,2017-12-24,53KwLdlmrlCelAZMaLVZqU,0hQkqM37pYkOuWDDoxk3Ce,11 days 22:16:07.000000000,11.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
910,James Blake,Timeless,38,2016-09-02T16:14:38Z,2016-09-02,53KwLdlmrlCelAZMaLVZqU,35paindMNut8Sf4erMi23z,0 days 16:14:38.000000000,0.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
911,James Blake,Timeless,46,2016-05-07T23:16:18Z,2016-05-05,53KwLdlmrlCelAZMaLVZqU,49jxn2Mdde8QZUx0AlbD0l,2 days 23:16:18.000000000,2.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
912,James Blake,Love What Happened Here,0,2016-05-16T05:48:25Z,2011-12-12,53KwLdlmrlCelAZMaLVZqU,2FdyZq4dn4v4bXhwKchE49,1617 days 05:48:25.000000000,1617.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
913,James Blake,Love Me In Whatever Way,47,2016-05-07T23:13:43Z,2016-05-05,53KwLdlmrlCelAZMaLVZqU,1C0WuqxJFwspf1lc0v4qhZ,2 days 23:13:43.000000000,2.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
914,James Blake,Digital Lion,43,2013-06-14T23:37:53Z,2013-04-08,53KwLdlmrlCelAZMaLVZqU,0BQV07dSwLltMlLDo47ckp,67 days 23:37:53.000000000,67.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
915,James Blake,Retrograde,2,2013-02-20T20:25:21Z,2013-01-01,53KwLdlmrlCelAZMaLVZqU,4HujwzHGxXQ9BkrqW3lIfJ,50 days 20:25:21.000000000,50.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
916,James Blake,A Case Of You,44,2012-06-11T06:33:14Z,2011-01-01,53KwLdlmrlCelAZMaLVZqU,6tNrUI6H15kqWBff0HcEZr,527 days 06:33:14.000000000,527.0,916110,"['art pop', 'indie r&b', 'indietronica', 'uk alternative pop']",74
917,KNOWER,One Hope (ft. David Binney),38,2019-01-01T19:16:30Z,2018-12-14,7fVp0A6oCMfiQJihMnY0SZ,09gRqhj5Jj4HQG8BKc4CkG,18 days 19:16:30.000000000,18.0,48960,['la pop'],43
918,KNOWER,Like A Storm,19,2016-09-12T05:04:37Z,2010-10-01,7fVp0A6oCMfiQJihMnY0SZ,6wf9OsHdtIQ4dCxh354R6T,2173 days 05:04:37.000000000,2173.0,48960,['la pop'],43
919,KNOWER,Let Go,22,2016-06-02T19:20:42Z,2013-04-29,7fVp0A6oCMfiQJihMnY0SZ,20HbCRbzlWoxqb89OxC12Z,1130 days 19:20:42.000000000,1130.0,48960,['la pop'],43
