,index,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity,First Popularity Peak,Popularity When Discovered
830,830,4jVvsFGggOdlGKDTOT9o23,Palace of the King,2018-03-21T18:55:26Z,2018-02-26,23.0,1315,"['australian psych', 'modern hard rock']",11,2013-03-01,40.96774193548387
831,831,4jaeGVfIwCDJh18eP1rciA,Monobody,2017-10-12T18:55:23Z,2015-04-07,919.0,8822,"['chicago indie', 'instrumental math rock', 'math pop']",29,2015-04-01,13.161290322580644
832,832,4kSGbjWGxTchKpIxXPJv0B,Crumb,2017-07-14T22:12:35Z,2016-09-06,311.0,159412,"['indie garage rock', 'neo-psychedelic']",65,2019-01-01,62.70967741935484
833,833,4kubsO16bEfCADaVUyoYb6,Giraffage,2018-06-14T18:34:39Z,2017-10-20,237.0,94246,"['chillwave', 'indie dream pop', 'indietronica', 'vapor soul', 'vapor twitch']",51,2015-02-01,11.6
834,834,4l2MwXYwUDQKHcUXwCZjEz,José James,2013-02-08T05:54:22Z,2013,0.0,84502,"['belgian modern jazz', 'indie jazz', 'neo r&b', 'neo soul', 'soul', 'vocal jazz']",54,2017-02-01,53.714285714285715
835,835,4lJ38ruS6I9LrK2YB5vWEe,Luther Burbank,2019-06-10T19:03:57Z,2019-06-07,3.0,18,[],0,2019-01-01,41.333333333333336
836,836,4lsLWmOLcZjlaPhx7FKwLl,Inara George,2017-10-09T06:51:14Z,2017-10-06,3.0,11005,['folk-pop'],45,2012-04-01,18.096774193548388
837,837,4lxYjU4q6B1KoDJOvNXzQy,Kiki Gyan,2019-08-02T04:01:06Z,2012-12-03,2433.0,7104,['disco'],44,2013-02-01,29.93548387096774
838,838,4m0HRALRlPxbZp5SwvktFX,Cities Aviv,2016-05-31T22:44:38Z,2014-01-28,854.0,10805,"['experimental hip hop', 'memphis indie', 'underground hip hop']",34,2011-12-01,8.0
839,839,4mReAPPco75Rlqzvl9SjWk,Newaxeyes,2017-08-29T23:45:13Z,2014-10-29,6.0,209,[],1,2018-03-01,0.0
840,840,4nhvb6x9ZhPiYCzrHDNia9,Daphni,2018-06-14T18:34:26Z,2017-10-06,251.0,53463,"['alternative dance', 'bass music', 'deep house', 'electronica', 'float house', 'future garage', 'indie soul', 'indietronica', 'microhouse', 'minimal techno', 'new rave', 'tech house']",50,2012-10-01,13.2
841,841,4o6gglPeg2GgT0FYDtzFeF,Clap! Clap!,2016-12-30T19:55:10Z,2016-12-09,21.0,24363,['italian electronica'],35,,
842,842,4oDjh8wNW5vDHyFRrDYC4k,Loyle Carner,2017-08-08T04:21:12Z,2017-01-20,200.0,274274,"['indie r&b', 'indie soul', 'london rap']",70,2019-07-01,27.903225806451612
843,843,4og9jrin5xH5JiFPbeGUPb,The Skatalites,2013-10-06T07:37:48Z,2012-04-16,538.0,134512,"['dub', 'reggae', 'rock steady', 'ska', 'ska jazz', 'ska revival']",54,2012-08-01,62.0
844,844,4p35pLn1lRgqoVVsnqNZEK,Bugge Wesseltoft,2017-01-16T23:31:03Z,2016-10-07,101.0,32483,"['dark jazz', 'norwegian jazz', 'nu jazz', 'swedish jazz']",49,2019-02-01,11.548387096774194
845,845,4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,2013-06-11T20:06:09Z,2013-06-03,6.0,2050363,"['alternative metal', 'alternative rock', 'blues rock', 'garage rock', 'modern rock', 'nu metal', 'palm desert scene', 'post-grunge', 'rock', 'stoner metal', 'stoner rock']",74,2013-06-01,81.66666666666666
846,846,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,2013-06-05T03:39:58Z,2012-04-13,418.0,4881449,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",81,2012-04-01,45.5
